,d,Geographic Area N,Total,Male,Female,Total Under 18 year,Male Under 18 year,Female Under 18 year,Total 60 years and over,Male 60 years and over,Female 60 years and over,Median age (years),Sex ratio (males per 100 females),Age dependency ratio,Old-age dependency ratio,Child dependency ratio,county_state_name,full_county_fips,percent_under18,percent_over60,COUNTYFIPS,hospital_bed_count,hospital_count
741,0500000US15009,"Maui County, Hawaii",167218,82282,84936,36038,17054,18984,42244,19991,22253,41.1,96.9,66.1,30.3,35.8,"Maui County, Hawaii",15009,21.551507612816803,25.262830556519035,15009,258.0,4.0
742,0500000US23005,"Cumberland County, Maine",293557,142838,150719,54503,28526,25977,74565,34046,40519,42.1,94.8,58.6,29.2,29.4,"Cumberland County, Maine",23005,18.56641129320711,25.400518468304284,23005,1269.0,8.0
743,0500000US33015,"Rockingham County, New Hampshire",309176,152965,156211,60249,30757,29492,79192,37063,42129,44.8,97.9,59.8,28.6,31.1,"Rockingham County, New Hampshire",33015,19.486958884260098,25.613889823272178,33015,606.0,6.0
744,0500000US35031,"McKinley County, New Mexico",72290,34525,37765,20836,10609,10227,14676,5826,8850,32.3,91.4,71.4,22.0,49.4,"McKinley County, New Mexico",35031,28.822797067367546,20.301563148429935,35031,228.0,4.0
745,0500000US36011,"Cayuga County, New York",77145,39764,37381,15264,7945,7319,19699,9441,10258,42.4,106.4,62.2,30.1,32.1,"Cayuga County, New York",36011,19.786117052304103,25.53503143431201,36011,99.0,1.0
746,0500000US36047,"Kings County, New York",2582830,1223278,1359552,588823,300639,288184,499818,208386,291432,35.4,90.0,58.0,21.9,36.0,"Kings County, New York",36047,22.797590240162922,19.35156398214362,36047,6166.0,15.0
747,0500000US37089,"Henderson County, North Carolina",116748,56330,60418,22053,12135,9918,38616,17076,21540,48.3,93.2,81.4,47.1,34.3,"Henderson County, North Carolina",37089,18.889402816322335,33.07636961661014,37089,325.0,2.0
748,0500000US39057,"Greene County, Ohio",167995,82995,85000,34891,17898,16993,40333,18202,22131,37.9,97.6,61.5,27.9,33.5,"Greene County, Ohio",39057,20.769070508050834,24.008452632518825,39057,176.0,2.0
749,0500000US39139,"Richland County, Ohio",121099,60963,60136,25845,12885,12960,31379,13925,17454,41.5,101.4,69.3,33.2,36.1,"Richland County, Ohio",39139,21.342042461126848,25.911857240769947,39139,431.0,3.0
750,0500000US41033,"Josephine County, Oregon",87393,43294,44099,16840,9050,7790,29992,13976,16016,47.9,98.2,83.3,47.9,35.3,"Josephine County, Oregon",41033,19.26927785978282,34.318538098017,41033,125.0,1.0
751,0500000US42007,"Beaver County, Pennsylvania",164742,80056,84686,31834,15811,16023,47638,21811,25827,45.6,94.5,69.3,36.6,32.7,"Beaver County, Pennsylvania",42007,19.32354833618628,28.916730402690266,42007,396.0,2.0
752,0500000US42037,"Columbia County, Pennsylvania",65456,31765,33691,11380,5916,5464,17477,8052,9425,41.0,94.3,58.2,30.7,27.5,"Columbia County, Pennsylvania",42037,17.385724761671963,26.700378880469323,42037,173.0,2.0
753,0500000US45031,"Darlington County, South Carolina",66802,33149,33653,14925,8970,5955,18369,8005,10364,41.1,98.5,70.3,32.2,38.0,"Darlington County, South Carolina",45031,22.342145444747164,27.497679710188315,45031,188.0,2.0
754,0500000US45079,"Richland County, South Carolina",414576,200692,213884,88465,44950,43515,75445,32236,43209,33.5,93.8,51.7,19.4,32.4,"Richland County, South Carolina",45079,21.33866890509822,18.19811084095558,45079,2585.0,14.0
755,0500000US48157,"Fort Bend County, Texas",787858,386679,401179,215824,109905,105919,130727,61206,69521,36.6,96.4,62.5,18.0,44.5,"Fort Bend County, Texas",48157,27.39376892790325,16.59271086921755,48157,1105.0,12.0
756,0500000US48181,"Grayson County, Texas",133991,65122,68869,31346,16283,15063,31365,13877,17488,40.1,94.6,69.5,29.9,39.7,"Grayson County, Texas",48181,23.394108559530117,23.40828861639961,48181,602.0,8.0
757,0500000US48451,"Tom Green County, Texas",118189,59451,58738,28181,14685,13496,24528,11377,13151,33.9,101.2,63.9,24.8,39.1,"Tom Green County, Texas",48451,23.84401255616005,20.753200382438298,48451,614.0,4.0
759,0500000US53021,"Franklin County, Washington",94347,48874,45473,30919,15495,15424,13455,7055,6400,30.3,107.5,73.9,16.9,57.0,"Franklin County, Washington",53021,32.771577262658056,14.26118477535057,53021,106.0,1.0
760,0500000US53025,"Grant County, Washington",97331,49789,47542,28290,14311,13979,19409,9805,9604,33.4,104.7,77.1,25.6,51.5,"Grant County, Washington",53025,29.065765275194956,19.941231467877653,53025,186.0,4.0
761,0500000US55109,"St. Croix County, Wisconsin",89694,44329,45365,22503,11252,11251,17626,8583,9043,39.7,97.7,64.0,22.8,41.1,"St. Croix County, Wisconsin",55109,25.088634691283694,19.65125872410641,55109,125.0,5.0
762,0500000US05045,"Faulkner County, Arkansas",124806,60576,64230,28872,14431,14441,22799,10292,12507,32.9,94.3,55.6,19.6,36.0,"Faulkner County, Arkansas",05045,23.133503196961687,18.26755123952374,05045,172.0,2.0
763,0500000US06019,"Fresno County, California",994400,495950,498450,281820,143722,138098,169961,78005,91956,32.5,99.5,68.2,20.6,47.7,"Fresno County, California",06019,28.34070796460177,17.091814159292035,06019,3551.0,14.0
764,0500000US08013,"Boulder County, Colorado",326078,163621,162457,62140,31129,31011,67916,30982,36934,36.6,100.7,49.6,21.1,28.5,"Boulder County, Colorado",08013,19.05679009316789,20.82814541306068,08013,700.0,5.0
765,0500000US08041,"El Paso County, Colorado",713856,360752,353104,172062,87699,84363,130886,59380,71506,34.3,102.2,58.5,20.3,38.2,"El Paso County, Colorado",08041,24.10318047337278,18.33507037833961,08041,1511.0,9.0
766,0500000US12015,"Charlotte County, Florida",184998,90140,94858,22207,11725,10482,91878,43934,47944,59.8,95.0,109.1,84.0,25.1,"Charlotte County, Florida",12015,12.003913555822225,49.664320695358875,12015,823.0,4.0
