,d,Geographic Area N,Total,Male,Female,Total Under 18 year,Male Under 18 year,Female Under 18 year,Total 60 years and over,Male 60 years and over,Female 60 years and over,Median age (years),Sex ratio (males per 100 females),Age dependency ratio,Old-age dependency ratio,Child dependency ratio,county_state_name,full_county_fips,percent_under18,percent_over60,COUNTYFIPS,hospital_bed_count,hospital_count
767,0500000US12057,"Hillsborough County, Florida",1436888,702808,734080,323828,166145,157683,287770,127429,160341,37.1,95.7,58.4,22.7,35.7,"Hillsborough County, Florida",12057,22.536759997995667,20.02730901782185,12057,4857.0,18.0
768,0500000US18043,"Floyd County, Indiana",77781,37644,40137,17558,8591,8967,17513,7784,9729,39.5,93.8,62.8,26.0,36.7,"Floyd County, Indiana",18043,22.57363623507026,22.515781489052596,18043,297.0,3.0
769,0500000US21093,"Hardin County, Kentucky",110356,55818,54538,27112,14609,12503,23125,10232,12893,36.6,102.3,63.7,23.5,40.2,"Hardin County, Kentucky",21093,24.56776251404545,20.954909565406503,21093,465.0,3.0
770,0500000US22071,"Orleans Parish, Louisiana",391006,185255,205751,78124,39548,38576,82084,35863,46221,37.3,90.0,53.1,22.5,30.6,"Orleans Parish, Louisiana",22071,19.980256057451804,20.993028239975857,22071,1671.0,10.0
771,0500000US23003,"Aroostook County, Maine",67111,32867,34244,12567,6237,6330,22370,10632,11738,48.5,96.0,75.0,42.2,32.8,"Aroostook County, Maine",23003,18.72569325445903,33.33283664376928,23003,256.0,6.0
772,0500000US24005,"Baltimore County, Maryland",828431,392736,435695,178822,91088,87734,199558,86886,112672,39.5,90.1,63.4,28.1,35.3,"Baltimore County, Maryland",24005,21.58562390832791,24.088668820939823,24005,1899.0,6.0
773,0500000US24043,"Washington County, Maryland",150926,77920,73006,32970,18026,14944,37207,16807,20400,39.6,106.7,64.2,28.4,35.9,"Washington County, Maryland",24043,21.845142652690722,24.652478698169965,24043,372.0,3.0
774,0500000US26125,"Oakland County, Michigan",1259201,616837,642364,264031,134892,129139,300804,133784,167020,40.8,96.0,60.7,27.0,33.7,"Oakland County, Michigan",26125,20.968137731783884,23.888481664166402,26125,4435.0,17.0
775,0500000US34001,"Atlantic County, New Jersey",265429,129633,135796,56422,29683,26739,65593,29138,36455,41.9,95.5,64.4,29.5,34.9,"Atlantic County, New Jersey",34001,21.25690862716583,24.71206989439737,34001,1573.0,9.0
776,0500000US34023,"Middlesex County, New Jersey",829685,409784,419901,179932,91974,87958,174848,78948,95900,38.7,97.6,57.9,23.6,34.2,"Middlesex County, New Jersey",34023,21.686784743607515,21.0740220686164,34023,2782.0,11.0
777,0500000US34037,"Sussex County, New Jersey",140799,70186,70613,28019,14527,13492,35601,17404,18197,44.6,99.4,58.0,26.6,31.4,"Sussex County, New Jersey",34037,19.899999289767685,25.284980717192596,34037,146.0,1.0
778,0500000US35005,"Chaves County, New Mexico",64689,32254,32435,16484,8770,7714,15317,7198,8119,36.9,99.4,73.1,29.0,44.1,"Chaves County, New Mexico",35005,25.48192119216559,23.67790505340939,35005,229.0,3.0
779,0500000US35013,"Doña Ana County, New Mexico",217522,106963,110559,52231,26272,25959,46611,22093,24518,33.6,96.7,66.7,26.7,40.0,"Doña Ana County, New Mexico",35013,24.011824091356278,21.42817737975929,35013,603.0,6.0
780,0500000US36085,"Richmond County, New York",476179,230765,245414,104037,53302,50735,110711,49137,61574,40.1,94.0,61.4,26.1,35.3,"Richmond County, New York",36085,21.84829654394671,23.24987032187476,36085,1187.0,4.0
781,0500000US42071,"Lancaster County, Pennsylvania",543557,265726,277831,127711,65164,62547,133044,60316,72728,38.7,95.6,71.4,31.1,40.3,"Lancaster County, Pennsylvania",42071,23.495419983552782,24.47654983745955,42071,1191.0,5.0
782,0500000US42107,"Schuylkill County, Pennsylvania",142067,73336,68731,28190,14701,13489,39214,17741,21473,44.6,106.7,67.1,34.0,33.2,"Schuylkill County, Pennsylvania",42107,19.84275025164183,27.60246925746303,42107,361.0,3.0
783,0500000US42129,"Westmoreland County, Pennsylvania",350611,171859,178752,64119,32808,31311,108895,48343,60552,47.4,96.1,69.3,38.4,31.0,"Westmoreland County, Pennsylvania",42129,18.28778903114848,31.05863763544213,42129,1012.0,4.0
784,0500000US45083,"Spartanburg County, South Carolina",313888,151082,162806,72372,35802,36570,70165,31339,38826,38.0,92.8,64.0,26.2,37.8,"Spartanburg County, South Carolina",45083,23.056631664797635,22.35351462942196,45083,943.0,6.0
785,0500000US48339,"Montgomery County, Texas",590925,294399,296526,155734,80924,74810,109427,51389,58038,37.5,99.3,65.6,22.0,43.7,"Montgomery County, Texas",48339,26.35427507720946,18.51791682531624,48339,1913.0,17.0
786,0500000US51087,"Henrico County, Virginia",329261,156568,172693,74468,38107,36361,72311,29972,42339,39.3,90.7,62.0,25.4,36.6,"Henrico County, Virginia",51087,22.616708325614027,21.96160492739802,51087,1031.0,5.0
787,0500000US51760,"Richmond city, Virginia",228783,107729,121054,39707,19556,20151,43488,18237,25251,34.0,89.0,44.0,19.0,25.0,"Richmond city, Virginia",51760,17.35574758614058,19.008405344802718,51760,1612.0,5.0
788,0500000US55035,"Eau Claire County, Wisconsin",104534,52101,52433,20982,11122,9860,22432,10314,12118,34.5,99.4,56.3,25.0,31.4,"Eau Claire County, Wisconsin",55035,20.07193831671992,21.459046817303463,55035,661.0,3.0
789,0500000US55063,"La Crosse County, Wisconsin",118230,57208,61022,23383,11680,11703,26891,11941,14950,36.5,93.7,56.1,25.3,30.9,"La Crosse County, Wisconsin",55063,19.777552228706757,22.74465025797175,55063,656.0,2.0
790,0500000US01003,"Baldwin County, Alabama",218022,105437,112585,47156,24391,22765,59517,27487,32030,44.0,93.7,72.5,35.2,37.3,"Baldwin County, Alabama",01003,21.62900991643045,27.298621240058342,01003,398.0,4.0
791,0500000US05125,"Saline County, Arkansas",121421,59537,61884,28207,14248,13959,28369,12889,15480,39.2,96.2,70.0,30.5,39.5,"Saline County, Arkansas",05125,23.230742622775303,23.364162706615822,05125,244.0,2.0
792,0500000US12009,"Brevard County, Florida",596849,289611,307238,109627,54317,55310,191416,87156,104260,47.2,94.3,72.5,40.8,31.7,"Brevard County, Florida",12009,18.367627322823697,32.071093358621695,12009,1768.0,11.0
793,0500000US17091,"Kankakee County, Illinois",110024,54768,55256,25195,13449,11746,25626,12343,13283,37.5,99.1,65.5,27.6,37.9,"Kankakee County, Illinois",17091,22.899549189267795,23.291281902130446,17091,468.0,2.0
794,0500000US18005,"Bartholomew County, Indiana",82753,41162,41591,19690,9426,10264,18148,8240,9908,37.2,99.0,67.1,27.4,39.8,"Bartholomew County, Indiana",18005,23.793699322078957,21.930322767754642,18005,198.0,1.0
795,0500000US18057,"Hamilton County, Indiana",330086,160882,169204,89053,45029,44024,58564,26480,32084,37.7,95.1,65.3,20.7,44.6,"Hamilton County, Indiana",18057,26.978726756057515,17.742042982737832,18057,577.0,6.0
796,0500000US19153,"Polk County, Iowa",487204,240482,246722,121315,61891,59424,87921,39298,48623,35.8,97.5,60.9,20.8,40.1,"Polk County, Iowa",19153,24.900247124407844,18.046034104810303,19153,1820.0,8.0
797,0500000US20209,"Wyandotte County, Kansas",165324,81865,83459,46120,23453,22667,29070,12871,16199,34.3,98.1,67.2,20.6,46.7,"Wyandotte County, Kansas",20209,27.896736106070502,17.58365391594687,20209,1232.0,4.0
798,0500000US22045,"Iberia Parish, Louisiana",70941,34109,36832,18154,9176,8978,15241,6987,8254,37.4,92.6,67.3,24.5,42.8,"Iberia Parish, Louisiana",22045,25.590279246134113,21.484050126161176,22045,211.0,3.0
799,0500000US22103,"St. Tammany Parish, Louisiana",258111,126257,131854,61900,32383,29517,61068,28079,32989,40.8,95.8,69.2,28.6,40.6,"St. Tammany Parish, Louisiana",22103,23.981930254812852,23.65958831665446,22103,946.0,11.0
800,0500000US24001,"Allegany County, Maryland",70975,37941,33034,12257,6723,5534,18384,8464,9920,42.3,114.9,59.2,31.7,27.5,"Allegany County, Maryland",24001,17.269461077844312,25.90207819654808,24001,451.0,2.0
801,0500000US25005,"Bristol County, Massachusetts",564022,273114,290908,116098,59117,56981,134679,60310,74369,40.9,93.9,59.7,26.9,32.9,"Bristol County, Massachusetts",25005,20.583948853058924,23.87832389516721,25005,1399.0,8.0
802,0500000US26021,"Berrien County, Michigan",154141,75406,78735,33571,16844,16727,42824,19134,23690,42.1,95.8,71.1,33.8,37.3,"Berrien County, Michigan",26021,21.779409761192674,27.78235511641938,26021,512.0,4.0
803,0500000US26093,"Livingston County, Michigan",191224,95923,95301,40751,21031,19720,48246,22831,25415,44.0,100.7,62.9,28.2,34.7,"Livingston County, Michigan",26093,21.310609546918798,25.230096640589046,26093,177.0,2.0
804,0500000US26103,"Marquette County, Michigan",66516,33223,33293,12450,6380,6070,17746,8803,8943,39.0,99.8,61.3,31.1,30.2,"Marquette County, Michigan",26103,18.717301100487102,26.679295207168202,26103,289.0,2.0
805,0500000US29019,"Boone County, Missouri",180005,87634,92371,36539,19657,16882,32208,14288,17920,30.4,94.9,48.1,18.1,30.1,"Boone County, Missouri",29019,20.29888058665037,17.892836310102496,29019,620.0,4.0
806,0500000US34031,"Passaic County, New Jersey",503310,245652,257658,119860,61205,58655,103780,46286,57494,37.4,95.3,62.2,23.6,38.6,"Passaic County, New Jersey",34031,23.814349009556736,20.619498917168347,34031,1456.0,5.0
807,0500000US35043,"Sandoval County, New Mexico",145179,71165,74014,33582,16953,16629,35389,16033,19356,40.9,96.2,69.1,30.0,39.1,"Sandoval County, New Mexico",35043,23.131444630421754,24.37611500285854,35043,271.0,2.0
808,0500000US36093,"Schenectady County, New York",155350,76212,79138,33337,17539,15798,38121,16516,21605,39.8,96.3,63.2,28.2,35.0,"Schenectady County, New York",36093,21.459285484390087,24.538783392339877,36093,538.0,3.0
809,0500000US37031,"Carteret County, North Carolina",69524,34225,35299,12343,6820,5523,23217,10582,12635,48.9,97.0,75.0,43.9,31.1,"Carteret County, North Carolina",37031,17.753581497036993,33.39422357746965,37031,135.0,1.0
810,0500000US37155,"Robeson County, North Carolina",131831,64164,67667,32772,16868,15904,29016,12898,16118,36.9,94.8,66.5,25.1,41.4,"Robeson County, North Carolina",37155,24.85909990821582,22.009997648504527,37155,452.0,1.0
811,0500000US39133,"Portage County, Ohio",162927,79341,83586,29604,15313,14291,38216,17584,20632,39.1,94.9,53.5,25.6,27.9,"Portage County, Ohio",39133,18.170100719954334,23.45590356417291,39133,302.0,1.0
812,0500000US41047,"Marion County, Oregon",346868,174987,171881,85970,44449,41521,76684,35399,41285,36.8,101.8,67.2,25.8,41.4,"Marion County, Oregon",41047,24.784644302731877,22.10754523334525,41047,496.0,4.0
813,0500000US42027,"Centre County, Pennsylvania",162805,85370,77435,24527,12469,12058,31484,14684,16800,31.6,110.2,41.0,19.8,21.2,"Centre County, Pennsylvania",42027,15.065262123399158,19.338472405638647,42027,438.0,3.0
814,0500000US42125,"Washington County, Pennsylvania",207346,101092,106254,40241,20001,20240,58284,26813,31471,44.3,95.1,65.9,33.7,32.2,"Washington County, Pennsylvania",42125,19.40765676694993,28.109536716406392,42125,602.0,4.0
815,0500000US45059,"Laurens County, South Carolina",66994,33066,33928,14560,8287,6273,17111,7711,9400,41.5,97.5,68.3,31.7,36.6,"Laurens County, South Carolina",45059,21.73328954831776,25.54109323222975,45059,76.0,1.0
816,0500000US47001,"Anderson County, Tennessee",76482,36937,39545,16147,7891,8256,21083,9912,11171,42.9,93.4,69.8,34.0,35.9,"Anderson County, Tennessee",47001,21.112157108862217,27.565963233179048,47001,301.0,1.0
817,0500000US51085,"Hanover County, Virginia",107239,52446,54793,23714,12521,11193,26431,11890,14541,42.8,95.7,65.9,29.2,36.7,"Hanover County, Virginia",51085,22.113223733902778,24.64681692294781,51085,265.0,2.0
818,0500000US53035,"Kitsap County, Washington",269805,138086,131719,55256,28388,26868,66244,30952,35292,39.2,104.8,61.8,28.6,33.1,"Kitsap County, Washington",53035,20.479976279164582,24.552547210022052,53035,381.0,3.0
819,0500000US55055,"Jefferson County, Wisconsin",85129,42442,42687,18054,9325,8729,20450,9937,10513,42.1,99.4,62.4,27.9,34.4,"Jefferson County, Wisconsin",55055,21.207814023423275,24.02236605622056,55055,82.0,1.0
820,0500000US55087,"Outagamie County, Wisconsin",187365,92975,94390,44127,22158,21969,39072,18343,20729,38.2,98.5,62.0,23.8,38.2,"Outagamie County, Wisconsin",55087,23.551356977023456,20.853414458410054,55087,517.0,3.0
821,0500000US01049,"DeKalb County, Alabama",71385,35048,36337,17145,8965,8180,17182,8407,8775,39.5,96.5,70.0,29.2,40.8,"DeKalb County, Alabama",01049,24.01765076696785,24.069482384254396,01049,134.0,1.0
822,0500000US06007,"Butte County, California",231256,113736,117520,46212,23211,23001,58620,26448,32172,37.5,96.8,62.6,30.1,32.5,"Butte County, California",06007,19.983049088456085,25.348531497561144,06007,592.0,7.0
823,0500000US06017,"El Dorado County, California",190678,94527,96151,38012,18699,19313,57738,27580,30158,46.6,98.3,69.9,36.0,33.9,"El Dorado County, California",06017,19.935178678190457,30.280367950156812,06017,240.0,3.0
824,0500000US06025,"Imperial County, California",181827,93655,88172,50831,26087,24744,31908,13522,18386,33.1,106.2,69.2,21.9,47.3,"Imperial County, California",06025,27.955694148833782,17.548548895378573,06025,268.0,2.0
825,0500000US06029,"Kern County, California",896764,459769,436995,258952,131665,127287,143202,66168,77034,32.0,105.2,66.1,18.2,48.0,"Kern County, California",06029,28.876270679911325,15.968749860609927,06029,1833.0,15.0
826,0500000US06041,"Marin County, California",259666,127299,132367,51861,26557,25304,78465,35517,42948,47.4,96.2,73.6,38.9,34.7,"Marin County, California",06041,19.972195050564956,30.217664230203418,06041,458.0,4.0
